missile_code,label,category,radius_km,color
DF-11,DF-11 SRBM (300 km),SRBM,600,red
DF-15,DF-15 SRBM (600 km),SRBM,725,orange
DF-16B,DF-16B SRBM (1000 km),SRBM,700,#ff8800
DF-16,DF-16 SRBM (1000 km),SRBM,1000,#ff6600
DF-17,DF-17 HGV (2500 km),HGV,2500,purple
DF-21A,DF-21A MRBM (2150 km),MRBM,1750,blue
DF-21D,DF-21D ASBM (1550 km),MRBM,1500,navy
DF-26,DF-26 IRBM (4000 km),IRBM,3000,green
DF-100,DF-100 LACM (2000 km),LACM,2000,pink
DF-10,DF-10 LACM (1500 km),LACM,1500,#cc99ff
DF-10A,DF-10A LACM (1500 km),LACM,1500,#b266ff
DF-31,DF-31 ICBM (7000 km),ICBM,7000,#4444cc
DF-31A,DF-31A ICBM (11000 km),ICBM,11000,#333399
DF-31AG,DF-31AG ICBM (11000 km),ICBM,11000,#191970
DF-41,DF-41 ICBM (13000 km),ICBM,13000,#2e8b57
DF-5,DF-5 ICBM (12000 km),ICBM,12000,#8b0000
